essay_id,score,score_bin,grade,ell,prompt_id,word_count,token_count,regime,half_life,delta_max,delta_128,delta_late,ppl_W32,ppl_W64,ppl_W128,ppl_W256,ppl_W384,ppl_W512,auc,log_slope,ratio_128_32,ratio_512_128,slope_early,slope_late
7A2D0B189298,4,mid,9,non_ELL,Does the electoral college work?,689,825,extended,101.43264709427255,1.470010986780732,1.0175335386400397,0.4524774481406926,10.232152106688051,9.89522061975189,9.214618568048012,8.795214788707183,8.81001616788602,8.76214111990732,573.8980111045574,0.5717481742119165,0.3311256819961713,0.4446806232504539,0.7339952950670917,0.3212422276311115
E4B55CAC7F65,4,mid,10,non_ELL,Car-free cities,626,823,extended,124.33246643572204,4.010974932224837,2.1135948643680127,1.897380067856824,14.587828847029655,14.360753456061513,12.474233982661644,11.581093479655568,11.046726253600673,10.576853914804818,1308.6303803909823,1.551632438301837,0.10743562770533159,0.8977028189478329,1.5246364146360556,1.3525108469896394
453D762EF267,4,mid,8,non_ELL,Seeking multiple opinions,761,922,extended,103.40387383818594,2.526496448692951,1.4305892069631376,1.0959072417298137,12.256803495332,11.26164151040408,10.82621428836886,10.119993554649431,9.75250223071307,9.730307046639048,940.8623461399428,0.910189021839587,0.6956308492222255,0.7660530614908012,1.0319519772174994,0.8332949167322865
9278F35CE330,4,mid,10,non_ELL,Facial action coding system,663,832,extended,195.4030155129404,3.891147429053492,1.1005621001505477,2.790585328902944,15.548155698583832,15.03623596595566,14.447593598433285,12.842895562046648,11.687423046966224,11.65700826953034,1219.7066211238416,1.539684187122436,0.4651438865268447,2.5356000615696432,0.7938877420387689,2.147298828304725
8A8B13591181,4,mid,10,non_ELL,Car-free cities,772,977,extended,91.10897376448293,1.8724184817920169,1.3448335695612448,0.5275849122307719,8.87031393012401,8.234377881266516,7.5254803605627645,7.4560731359865695,7.425612375704987,6.997895448331993,645.4083564729553,0.6012344253809238,0.4728734196194767,0.3923049841794905,0.9700923608135056,0.30948767984077036
B49ED6AC9AF3,4,mid,9,non_ELL,Does the electoral college work?,672,841,extended,115.32708544042244,2.375032773956708,1.3184086465511786,1.056624127405529,13.61542609725106,12.958041761506884,12.29701745069988,11.340829477398666,11.24722437724856,11.240393323294352,904.4019632192894,0.9239498561910199,0.4986195573457629,0.8014390152624877,0.9510308081222592,0.7817743537144035
0F2E9FA7DAF4,4,mid,8,non_ELL,Mandatory extracurricular activities,607,815,extended,204.95488709572152,2.5242174574210194,0.9400970561310178,1.5841204012900016,8.227884877219722,7.452125203784583,7.287787821088704,6.752181888239943,6.15180188483079,5.703667419798703,743.6643046036047,0.832755530301583,0.8251910463668389,1.6850604849348967,0.6781366804172666,1.1331888277809998
5BCE3F6D4C83,4,mid,8,non_ELL,Seeking multiple opinions,723,879,extended,174.7922117767826,2.2342085909002414,0.7484966187179403,1.485711972182301,13.042942070742477,12.978582147486758,12.294445452024537,11.286119903174765,11.24757112242728,10.808733479842234,672.6150203638247,0.8664710850336191,0.08598558984268662,1.9849281012479378,0.539926179973265,1.0102854233179464
CA30B3FFF4BE,4,mid,9,non_ELL,Does the electoral college work?,577,819,extended,187.0797164603072,0.791210328200525,0.2241644541071643,0.5670458740933606,7.740496642794806,7.530803797826957,7.516332188687642,7.144894880015724,6.956337627750259,6.949286314594281,258.8318847190026,0.3009953197294346,0.9354419986123357,2.5295976400534848,0.16170047314199384,0.4318448238843993
5FBEBF4F7E1D,3,mid,9,non_ELL,Does the electoral college work?,675,858,extended,268.4101654698455,2.862412138048178,1.3497278883302233,1.512684249717955,15.316623506066453,14.813406253318748,13.96689561773623,13.954382683895432,13.243066495675208,12.454211368018274,776.7048048146446,0.920623429268532,0.3728286694662918,1.1207327512431624,0.973622865521773,1.0275015247453787
7B000D776D89,4,mid,8,non_ELL,Seeking multiple opinions,968,1097,extended,71.48196566077588,2.5480678656480737,1.7157198202876778,0.832348045360396,12.74116130456546,11.525598595687702,11.025441484277785,10.87606389431198,10.608713786214585,10.193093438917389,897.8182070365837,0.7899889547391831,0.7084855548698763,0.48513051811736696,1.237630238141967,0.5572293475087223
DD1D41CC5388,4,mid,8,non_ELL,Seeking multiple opinions,700,875,extended,97.7826242366134,1.9079409469488715,1.1185033361421572,0.789437610806714,6.746027190194655,5.976002269027671,5.627523854052497,5.074546092956377,4.91830517361343,4.838086243245783,714.3437356592868,0.6784332479470206,0.6884422212122191,0.70579817269886,0.8068296081350265,0.5781120138774511
A143BE759AD2,4,mid,10,non_ELL,Facial action coding system,734,882,extended,115.44357231643248,2.9019101296420637,1.626175324832765,1.2757348048092982,12.107686173715573,11.37460695259602,10.481510848882808,9.65830884405132,9.52381416562278,9.20577604407351,1021.278797327678,1.0612656613031284,0.4507996216182547,0.7845001614081766,1.173037538376115,0.8879711871439098
D84C48045B90,3,mid,9,non_ELL,Does the electoral college work?,651,901,extended,277.96876641979617,1.8698885914554788,0.3772729969922697,1.4926155944632091,8.982119817777955,8.807564690377596,8.604846820785685,8.245728026919092,7.088871053815909,7.112231226322476,500.86371469670195,0.711954476848852,0.4626759105262313,3.956327662893384,0.2721449409110322,1.2063238234304547
F4A3B4B14952,4,mid,11,non_ELL,Summer projects,993,1073,extended,64.3321436774583,1.4768551902905696,1.0872992764696816,0.3895559138208879,8.346099735906174,7.609492141148669,7.258800459436492,6.8054347452874895,6.7802678161963925,6.869244545615604,631.8882317900898,0.5424392422587019,0.6774653590768249,0.35827846320814727,0.784320637062484,0.3044592253597068
5A9C20C851FD,4,mid,12,ELL,Distance learning,723,823,extended,163.068430566946,4.338996769462265,1.7928601359666914,2.546136633495574,11.679380723364304,10.329089017209188,9.886520587397614,8.511788526040727,7.729862239717132,7.34038395390204,1425.6145353580882,1.5387478285157241,0.7531494950815298,1.420153520298295,1.293275213583328,1.8661011491566242
544FF2EE0ACC,4,mid,10,non_ELL,Car-free cities,821,1044,extended,223.85493939460895,2.448228015314898,0.8617853511726281,1.58644266414227,11.46948468282046,10.966529756687336,10.607699331647831,10.123863356966018,9.776212462589838,9.021256667505565,652.5381970460036,0.7888920959949558,0.5836197209070149,1.840879126088184,0.6216467262237523,1.05389052722011
8FFFA9711FA2,4,mid,10,non_ELL,Car-free cities,725,975,extended,108.68482296322752,3.469687992041006,2.2646760931362118,1.2050118989047949,13.763243916300487,13.254143459403512,11.498567823164276,11.007186325795724,10.85210907359004,10.29355592425948,1189.3063898143027,1.2709837894143061,0.22480056129879192,0.5320901750837355,1.6336184843937025,0.7930962225862386
2B9C5C3BB7B9,4,mid,11,ELL,Distance learning,721,868,extended,127.94387002091732,3.103563084811583,1.552558268957771,1.551004815853812,13.077035251897994,12.41010887055353,11.524476982940223,10.906355988863476,10.091418571204482,9.973472167086411,1039.6919783496096,1.15415654792087,0.4295660875853438,0.9989994236383785,1.119934057658265,1.1907220742318705
4DE2EAF8914F,4,mid,11,non_ELL,Summer projects,664,786,extended,173.99809736724072,5.975079660009191,2.005514413700176,3.969565246309015,18.47647232749871,17.531831097137722,16.470957913798532,13.73825242201688,12.958586943668733,12.501392667489515,1933.0587380450438,2.3170151329196,0.4710219103427545,1.979325214115597,1.4466728495382908,2.8963244139632516
D6CD89424182,4,mid,8,non_ELL,Seeking multiple opinions,779,905,extended,157.98232281803544,1.8873421417517893,0.8088744169087398,1.0784677248430494,11.045102870644236,10.623093123351854,10.236228453735496,9.660756973006295,9.2144354056919,9.157760728892448,630.2200193769431,0.711667568753753,0.5217246811997943,1.333294393169965,0.5834795549880955,0.821438036684272
FCEF76504A79,4,mid,8,non_ELL,Mandatory extracurricular activities,688,922,extended,103.80773473153164,4.05382393560629,2.639150357318848,1.4146735782874416,10.34614226703631,9.32665242906848,7.706991909717462,6.706905893567308,6.353181655332596,6.29231833143002,1538.6598925059754,1.551160426302683,0.38629471607807336,0.5360337179593774,1.9037445663321197,1.0583711468520185
CD53BFFA5474,4,mid,8,non_ELL,Seeking multiple opinions,778,954,extended,165.17489729112896,1.3007131318427874,0.5908584707876514,0.709854661055136,8.45303793410105,8.168252684171835,7.862179463313399,7.657316592611229,7.222567710421185,7.152324802258264,412.9902659718754,0.4715126248237399,0.48198555831750917,1.2013954206476083,0.4262142928362913,0.5476972224282608
3CB7F7FC1F29,4,mid,6,non_ELL,"""A Cowboy Who Rode the Waves""",684,808,extended,88.90581961875827,3.7311586923507134,2.6569111208354164,1.074247571515297,8.565019556628446,7.203575768382115,5.90810843579303,5.193147818247184,5.021076951362242,4.8338608642777325,1444.431161733345,1.337993910316387,0.5124160072837702,0.4043219824295514,1.9165562490559964,0.7682953172676825
05F9DC51226B,4,mid,8,non_ELL,Seeking multiple opinions,1098,1395,extended,194.9113839815,2.160131362956596,0.4962879805367315,1.6638433824198646,10.66510688341266,10.23343665519522,10.168818902875929,9.052065052123412,8.70601258591681,8.504975520456064,663.8456487996781,0.8168613190180688,0.8697978696775854,3.3525764227060892,0.3579961041865705,1.214036297712156
