essay_id,window_idx,target_start,k,nll_k,gain_k
FFBA3014CDC7,5,327,4,3.3875999450683594,0.6935709061161166
FFBA3014CDC7,5,327,8,3.4004440307617188,0.6807268204227572
FFBA3014CDC7,5,327,12,3.341136932373047,0.7400339188114291
FFBA3014CDC7,5,327,16,3.2732534408569336,0.8079174103275424
FFBA3014CDC7,5,327,24,3.2237462997436523,0.8574245514408236
FFBA3014CDC7,5,327,32,3.361927032470703,0.7192438187137729
FFBA3014CDC7,5,327,48,3.3238296508789062,0.7573412003055697
FFBA3014CDC7,5,327,64,3.300046920776367,0.7811239304081088
FFBA3014CDC7,5,327,96,3.1924692392349243,0.8887016119495517
FFBA3014CDC7,5,327,128,2.8930217027664185,1.1881491484180575
FFBA3014CDC7,6,364,0,3.4779271771830897,0.0
FFBA3014CDC7,6,364,2,3.499217391014099,-0.021290213831009375
FFBA3014CDC7,6,364,4,3.337365984916687,0.14056119226640273
FFBA3014CDC7,6,364,8,2.7457637786865234,0.7321633984965663
FFBA3014CDC7,6,364,12,2.5010595321655273,0.9768676450175624
FFBA3014CDC7,6,364,16,2.3105549812316895,1.1673721959514003
FFBA3014CDC7,6,364,24,2.1492927074432373,1.3286344697398524
FFBA3014CDC7,6,364,32,2.2492480278015137,1.228679149381576
FFBA3014CDC7,6,364,48,2.2083311080932617,1.269596069089828
FFBA3014CDC7,6,364,64,2.173978805541992,1.3039483716410976
FFBA3014CDC7,6,364,96,2.1611485481262207,1.316778629056869
FFBA3014CDC7,6,364,128,2.0859155654907227,1.392011611692367
FFBA3014CDC7,7,408,0,3.1220732350503244,0.0
FFBA3014CDC7,7,408,2,3.206918388605118,-0.08484515355479338
FFBA3014CDC7,7,408,4,3.1451025009155273,-0.02302926586520293
FFBA3014CDC7,7,408,8,2.864343911409378,0.25772932364094636
FFBA3014CDC7,7,408,12,2.720638781785965,0.40143445326435945
FFBA3014CDC7,7,408,16,2.719430074095726,0.4026431609545984
FFBA3014CDC7,7,408,24,2.684959664940834,0.43711357010949037
FFBA3014CDC7,7,408,32,2.6473009288311005,0.47477230621922395
FFBA3014CDC7,7,408,48,2.6147316992282867,0.5073415358220377
FFBA3014CDC7,7,408,64,2.3924425840377808,0.7296306510125437
FFBA3014CDC7,7,408,96,2.3054933547973633,0.8165798802529611
FFBA3014CDC7,7,408,128,2.34599469602108,0.7760785390292444
FFBA3014CDC7,8,450,0,3.3587178876323085,0.0
FFBA3014CDC7,8,450,2,3.125930495560169,0.23278739207213928
FFBA3014CDC7,8,450,4,3.0114950761198997,0.34722281151240875
FFBA3014CDC7,8,450,8,3.0881798677146435,0.270538019917665
FFBA3014CDC7,8,450,12,2.9957278966903687,0.36298999094193984
FFBA3014CDC7,8,450,16,2.9811976812779903,0.37752020635431816
FFBA3014CDC7,8,450,24,2.9905600920319557,0.3681577956003528
FFBA3014CDC7,8,450,32,2.811443906277418,0.5472739813548904
FFBA3014CDC7,8,450,48,2.8401052318513393,0.5186126557809692
FFBA3014CDC7,8,450,64,2.6165685914456844,0.7421492961866241
FFBA3014CDC7,8,450,96,2.6403657756745815,0.718352111957727
FFBA3014CDC7,8,450,128,2.474560219794512,0.8841576678377967
FFBA3014CDC7,9,485,0,4.351946184712071,0.0
FFBA3014CDC7,9,485,2,4.382261276245117,-0.0303150915330459
FFBA3014CDC7,9,485,4,4.311278581619263,0.04066760309280859
FFBA3014CDC7,9,485,8,4.023471355438232,0.32847482927383886
FFBA3014CDC7,9,485,12,4.050039529800415,0.30190665491165625
FFBA3014CDC7,9,485,16,3.6173384189605713,0.7346077657515
