pair_type,child_id,log_slope_local_resid_diff,auc_log_k_resid_diff,auc_linear_k_resid_diff,early_ratio_resid_diff,mean_gain_128_resid_diff
between,1016_vs_1005,0.004401291298757992,0.6591252242094727,18.5884502075277,0.06251252277856667,0.10247529346071182
between,1068_vs_1042,0.022527448298329922,0.5622073551546736,13.770666034020564,0.019608475197321562,0.08487053852067872
between,1041_vs_1065,0.01195607250860925,0.042095962691108824,4.296885303263593,0.017900432114940634,0.03339364147799828
between,1018_vs_1041,0.07187524091798853,0.20051323913992825,17.04602210511331,0.004232310895900371,0.10856295515872372
between,1084_vs_1048,0.04771126682230137,0.3553185579770828,17.960314687043706,0.06527662796179778,0.21363600736441657
between,1010_vs_1009,0.07411879006586586,0.5250537866064042,25.84434787198927,0.011364079969394592,0.3695854672686145
between,1010_vs_1091,0.05201532606501297,0.7497431640763099,28.442272400996274,0.09185665967923262,0.23654246057047446
between,1056_vs_1012,0.04290044226551826,0.17497694440962697,1.464391273566065,0.15484317169214862,0.11127885481280253
between,1040_vs_1006,0.06358376761391626,0.31433106988525417,19.299264841319626,0.1393134562301772,0.35888657497033494
between,1040_vs_1009,0.02901545664215155,0.3910818209682523,15.735480117210756,0.0458016982726166,0.029978380014568318
between,1027_vs_1012,0.05550974398436015,0.24203680536854844,0.9691268317765775,0.06655215435659556,0.11831766524215936
between,1012_vs_1008,0.06763336250865498,0.4662964315296878,23.93556633478684,0.039557184655377386,0.21983650291025825
between,1099_vs_1056,0.03937830986591506,0.3125526102973559,3.2452034159545065,0.15804091869321663,0.08122658771683344
between,1099_vs_1006,0.00860826172275675,0.24929799970469357,6.525694081838452,0.0029965294713286683,0.09951029707701342
between,1056_vs_4054,0.07830966760776031,0.40469188202014816,0.8402376927543571,0.14099700313677993,0.1499447503174549
between,1006_vs_1091,0.019394794676886595,0.45513314975992714,16.045033222112437,0.016017185328048078,0.14340671504487879
between,1092_vs_1083,0.01534615128693917,0.1575338452170083,2.2382756659964116,0.026460026585372276,0.0032033330331617815
between,1083_vs_1072,0.04578284264116894,0.2134588346575308,13.118321246864554,0.08309340291989875,0.26256047618937495
between,1083_vs_1072,0.04578284264116894,0.2134588346575308,13.118321246864554,0.08309340291989875,0.26256047618937495
between,1006_vs_1056,0.09482056497753305,0.8905538644343807,41.28255744263785,0.007127225137310456,0.38345262513803746
between,1006_vs_1027,0.028969474959686936,0.3351449221201701,5.072549850209953,0.018117228055587797,0.021147316255514692
between,1034_vs_1027,0.04225601040157839,0.07440426889311791,8.642832194957919,0.05838551981370299,0.16044491899208757
between,1020_vs_1055,0.033260970373820364,0.453574157585908,17.41087706298032,0.06540888954043511,0.13509031602520305
between,1097_vs_1017,0.02130585904658794,0.5268465346750126,12.093067673704354,0.04794293196020327,0.04999400102978746
between,1055_vs_1020,0.033900958803347536,0.29396797163502075,3.43330077748692,0.030711840337384277,0.002862435832643895
between,1035_vs_1042,0.0063569879824182385,0.7882738049986879,23.598285428361095,0.14756846061763385,0.07221536635153969
between,1035_vs_1042,0.0030668238762857625,0.7369761650266757,20.87214450949824,0.1543414334785188,0.07416979746991803
