pair_type,child_id,log_slope_local_diff,auc_log_k_diff,auc_linear_k_diff,early_ratio_diff,mean_gain_128_diff
within,1020,0.009366277154665148,0.17084068684862963,3.483840242484888,0.031995201594140155,0.04888697853011492
within,1020,0.01481231704860797,0.3257940869519338,11.44757002642558,0.017870713295413898,0.12561214806572085
within,1021,0.023323718642832336,0.34597964411822213,13.507704823680456,0.0016997564077054772,0.10222623429952127
within,1021,0.0740010924374706,0.3299123600368108,20.31540282171582,0.03566541109419952,0.17304391596586477
within,1021,0.05067737379463827,0.016067284081411337,6.807697998035366,0.03396565468649404,0.0708176816663435
within,1022,0.048424970823602864,0.1248282406810004,10.96081440362238,0.12782618596832462,0.20871455491550495
within,1022,0.017737960628281035,0.08032452800447665,0.5589023024805329,0.0017440844291024549,0.02105327152436809
within,1022,0.0661629314518839,0.044503712676523755,11.519716706102912,0.12957027039742708,0.22976782643987304
within,1023,0.007483368589442041,2.035009605930748,61.03024270342249,0.19558419508171854,0.37904709712151585
within,1023,0.0002894924379794328,2.49300502795678,73.8197715533357,0.12863670512749337,0.564129159767782
within,1023,0.007772861027421474,0.4579954220260323,12.78952884991321,0.06694748995422517,0.18508206264626614
within,1024,0.044013697133526763,0.09994988697414842,9.520324190754138,0.06802445839095483,0.16233068656536864
within,1024,0.08963004917727485,0.2857214514858448,5.149605556841834,0.15994352085114105,0.14156185571224467
within,1024,0.04561635204374809,0.38567133845999324,4.370718633912304,0.09191906246018622,0.020768830853123976
within,1025,0.021918310824538823,0.2528187657938412,11.44896000815973,0.049398023473579356,0.1322661207568261
within,1025,0.018320858100769777,0.36929816241666735,9.170339529744979,0.10167736687942497,0.09060173265395677
within,1025,0.0402391689253086,0.11647939662282614,2.2786204784147515,0.15107539035300432,0.22286785341078286
within,1026,0.06661084108283777,0.0996455003717962,12.903750785896818,0.01512494003502829,0.166122677826112
within,1026,0.0471385137826707,0.10669545598357288,3.434523917109715,0.0022972709777964173,0.09345139442912997
within,1026,0.01947232730016707,0.2063409563553691,9.469226868787104,0.012827669057231872,0.07267128339698203
within,1027,0.09765982195058726,1.0628634122025256,45.97489338132644,0.06765407242724664,0.4375629094339184
within,1027,0.06601978381339219,0.05053665755285763,11.361307429113708,0.06160983432516198,0.2139386292426817
within,1027,0.03164003813719507,1.012326754649668,34.61358595221273,0.006044238102084654,0.2236242801912367
within,1028,0.07034070425537542,0.9501015324167512,38.08377919504716,0.05631065880548736,0.4525246789378501
within,1028,0.11958290622785428,0.37476556940397554,28.571895580738754,0.1326212791849236,0.45779343843460074
within,1028,0.04924220197247886,0.5753359630127757,9.511883614308402,0.07631062037943626,0.005268759496750652
within,1030,0.0968420753987958,0.19443951242677038,8.372917417557005,0.08337234261187121,0.18733675583235687
within,1030,0.055152301092034006,0.36293840879452066,18.497270627415958,0.019389146678663538,0.22096151762431693
within,1030,0.041689774306761795,0.557377921221291,10.124353209858953,0.06398319593320767,0.033624761791960056
within,1031,0.03376130470322536,0.005325546964926708,4.893647532585646,0.020920239350099235,0.0556846703252476
within,1031,0.017805186683526153,0.7665313000127663,26.231286893628806,0.08323547063973624,0.15145828656611915
within,1031,0.015956118019699206,0.771856846977693,21.33763936104316,0.06231523128963701,0.09577361624087155
within,1032,0.14423800022737077,0.859446533956973,46.2856820658329,0.06317418326357616,0.27555094611260134
within,1032,0.10294006419268614,0.38544769065238427,26.91412796580019,0.0648936795282744,0.32254488833488915
within,1032,0.041297936034684624,0.47399884330458875,19.37155410003271,0.12806786279185056,0.04699394222228781
within,1034,0.15256595718160432,0.5223768265342468,37.78490428193922,0.1680312813663815,0.73673699651995
within,1034,0.01484887596090384,0.37681216427701614,13.547566078939752,0.05536080941082433,0.10588636955907282
within,1034,0.16741483314250816,0.8991889908112629,51.33247036087897,0.22339209077720584,0.8426233660790228
within,1035,0.07024286497671989,0.6893167684082484,9.01979538634896,0.2353997963292097,0.07667876263299322
within,1035,0.008824141111383521,0.190809569828561,7.4390079492523284,0.04459338055475259,0.08940140138710717
within,1035,0.061418723865336367,0.8801263382368094,16.45880333560129,0.19080641577445712,0.012722638754113946
within,1036,0.07047359707292405,0.6201665915053645,6.619038421877008,0.2162630391823852,0.16030619360746878
within,1036,0.008631632350367457,1.0986149568344863,32.481041823135286,0.14182999356725612,0.11466245992529767
within,1036,0.07910522942329151,0.4784483653291218,25.862003401258278,0.07443304561512909,0.27496865353276645
within,1037,0.04879722698110189,0.38614715619694095,18.74420729683297,0.03820426766345042,0.15093059525374453
within,1037,0.006400033503478175,0.36472422667983695,9.378659730572878,0.06307306887476438,0.09541717748488154
within,1037,0.04239719347762372,0.7508713828767779,28.122867027405846,0.024868801211313962,0.24634777273862607
within,1038,0.019231320788070994,0.5522859979916341,12.946894481874324,0.1531671750381689,0.057113747827468586
within,1038,0.01832176544093994,0.6737593248288101,22.617844594678644,0.10769436569390578,0.14819965401003476
within,1038,0.037553086229010935,0.12147332683717593,9.67095011280432,0.04547280934426312,0.09108590618256618
within,1039,0.00462356625621646,0.4444034505112908,11.666233840680917,0.0769769561522805,0.023156627051291956
