doc_id,age_months,age_group,n_chars,n_words,n_tokens_model,word_count,n_tokens,ppl_min_ctx,ppl_32,ppl_max_fixed,total_benefit_fixed,benefit_ok_fixed,half_life_fixed,early_drop_pct_fixed,early_slope,burst_valid_256,burst_valid_512,burst_n_targets_256,burst_n_targets_512,burst_baseline_512,burst_I_L_max_512,burst_I_L_std_512,burst_spike_mass_c_512,burst_spike_count_c_512,burst_cv_c_512,burst_kurtosis_c_512,burst_spike_mass_512,burst_cv_512,burst_baseline_256,burst_I_L_max_256,burst_I_L_std_256,burst_spike_mass_c_256,burst_spike_count_c_256,burst_cv_c_256,burst_kurtosis_c_256,burst_spike_mass_256,burst_cv_256,model,model_tag
ECSC_4073_1_129F_4073_YR1,129,10+yr,1716,406,453,406,453,81.9115206658927,34.45640997415609,11.000044089150029,70.91147657674267,True,20.505303098287964,66.9216225393067,-1.609490087704774,True,False,20,0,,,,,,,,,,8.573319344337502,27.799587793421175,6.705030086177147,0.706198753456291,1.0,1.3841646690653304,1.8878290087929361,0.2995082785519373,0.7820809906731958,Qwen2.5-7B-Instruct,qwen7b
ECSC_4053_1_129M_4053_YR1,129,10+yr,2127,491,531,491,531,42.72078722335697,28.670339773461382,15.092893568103788,27.62789365525318,True,27.923369272318265,50.85602118359113,-0.48090722923939405,True,False,20,0,,,,,,,,,,27.96204449613338,168.37140433374046,39.191863711033314,0.8042154530117553,1.0,1.5452672784478256,5.690338643967928,0.4647252272191403,1.4016093750388245,Qwen2.5-7B-Instruct,qwen7b
ECSC_1059_1_132F_1059_YR1,132,10+yr,1024,243,252,243,252,12.946053797236546,7.066195848831865,6.394695061498554,6.551358735737992,True,13.817705612041042,89.75020580585459,-0.18254266926413387,False,False,0,0,,,,,,,,,,,,,,,,,,,Qwen2.5-7B-Instruct,qwen7b
ECSC_4046_1_132F_4046_YR1,132,10+yr,2072,521,584,521,584,57.1441601167326,29.95090946591731,8.06514955135028,49.07901056538232,True,28.107319301603578,55.40708815755128,-0.9101696039921052,True,True,20,20,28.46492881410265,35.125425245061635,3.362942203045679,0.5336613287925065,0.0,1.347251082057374,-0.22315234878395174,0.12339895692154028,0.11814335546061666,15.424364446181963,39.750696872888106,11.781515720353394,0.47443665099756815,1.0,1.1823173317195281,-0.4784580079257723,0.2532526767809195,0.7638250354794817,Qwen2.5-7B-Instruct,qwen7b
ECSC_4063_1_132F_4063_YR1,132,10+yr,1677,393,417,393,417,14.096189900079258,7.439104571293928,5.816770665393752,8.279419234685506,True,15.58552477857774,80.40522094709702,-0.28616252921157304,True,False,20,0,,,,,,,,,,2.6215255886741304,5.555414225007664,1.2449001687007855,0.4798184922971471,1.0,1.2414883776108834,0.008064681420368203,0.19176662351830898,0.47487622248631545,Qwen2.5-7B-Instruct,qwen7b
ECSC_4087_1_132M_4087_YR1,132,10+yr,1339,332,352,332,352,55.11494733582797,34.032346407104534,17.804129669309468,37.3108176665185,True,25.977775859531338,56.50533075195044,-0.9289741703346389,True,False,20,0,,,,,,,,,,13.065275739319267,34.532008638979256,7.13456137571045,0.5566977041045066,1.0,1.3337279316723702,1.8297960879086173,0.2139648403861043,0.5460704785769932,Qwen2.5-7B-Instruct,qwen7b
ECSC_4032_1_134M_4032_YR1,134,10+yr,1516,345,367,345,367,65.05435910278301,24.560610813207457,13.000077996091138,52.054281106691874,True,7.054019887025753,77.79138896679498,-0.9389281288942871,True,False,20,0,,,,,,,,,,15.476661862771394,32.440369823672086,9.212975225054445,0.3966931585532401,1.0,1.1201365458908623,-1.05294010206896,0.20540867572410937,0.5952818060344108,Qwen2.5-7B-Instruct,qwen7b
ECSC_4072_1_135F_4072_YR1,135,10+yr,1911,440,478,440,478,34.01877313793581,25.22933591297286,14.294046374294195,19.724726763641613,True,43.71929978068747,44.560501802055015,-0.33682236623381373,True,False,20,0,,,,,,,,,,21.198184507674465,51.72987285808894,14.001849236931468,0.4815353225584602,1.0,1.1689369284896904,-0.5143347041715569,0.2360485146402042,0.6605211513213465,Qwen2.5-7B-Instruct,qwen7b
ECSC_2025_1_135M_2025_YR1,135,10+yr,3092,731,812,731,812,92.5159390102429,56.468091042613366,28.426919853303968,64.08901915693893,True,23.998305207889924,56.24652778560527,-1.3144498846044401,True,True,20,20,36.98536763180941,87.92196849566044,24.4124062744345,0.4339748967824048,1.0,1.1564393621631872,-0.870472491182785,0.223848969229925,0.6600557960505039,47.68663529700112,144.90995068252641,29.62651680014836,0.5868941281886549,1.0,1.382704118383493,3.3252607621323342,0.23185130313471636,0.6212750515029835,Qwen2.5-7B-Instruct,qwen7b
ECSC_4028_1_136F_4028_YR1,136,10+yr,2717,677,703,677,703,27.561709695575036,18.453678782950014,10.450881425128975,17.110828270446063,True,19.695050235693266,53.229631953915835,-0.310437263800724,True,True,20,20,16.415730831614873,93.6598972805339,23.942259740154025,0.88453631424656,1.0,1.5537509369786948,4.3197956211366355,0.515153958970574,1.4584949025872118,10.038859603554199,44.42152224675999,10.225946890411377,0.7016885434921135,1.0,1.4137437530847856,3.903026135153338,0.352791719242082,1.0186363087288262,Qwen2.5-7B-Instruct,qwen7b
