doc_id,dataset,group,n_tokens,n_sentences,tokens_per_sentence,ttr,mtld,n_turns_total,adult_turn_frac,adult_token_frac,canonical_sim,group_canonical_mean
ECSC_1011_3_71M_1011_YR3,ecsc,4-6yr,272,77,3.5324675324675323,0.375,30.598655595096876,,,,0.1045244272451985,0.07551843430128889
ECSC_1083_1_71M_1083_YR1,ecsc,4-6yr,257,69,3.7246376811594204,0.43190661478599224,38.21547821165818,,,,0.05635274805830796,0.07551843430128889
ECSC_1083_2_71M_1083_YR2,ecsc,4-6yr,199,38,5.2368421052631575,0.3417085427135678,19.42192192192192,,,,0.10379766698513142,0.07551843430128889
ECSC_1083_3_71M_1083_YR3,ecsc,4-6yr,447,103,4.339805825242719,0.3422818791946309,30.246028452874924,,,,0.11372824816585426,0.07551843430128889
ECSC_1045_1_72F_1045_YR1,ecsc,6-8yr,240,49,4.8979591836734695,0.35833333333333334,22.700842696629216,,,,0.07755406686718629,0.07367355247314691
ECSC_1045_2_72F_1045_YR2,ecsc,6-8yr,334,56,5.964285714285714,0.3592814371257485,24.607529739538464,,,,0.08455419389889844,0.07367355247314691
ECSC_1045_3_72F_1045_YR3,ecsc,6-8yr,375,90,4.166666666666667,0.33866666666666667,21.69552364864865,,,,0.09014404512602672,0.07367355247314691
ECSC_2028_1_72F_2028_YR1,ecsc,6-8yr,252,89,2.831460674157303,0.5079365079365079,36.27979274611399,,,,0.07245291536151469,0.07367355247314691
ECSC_4008_1_72F_4008_YR1,ecsc,6-8yr,252,48,5.25,0.44047619047619047,44.474513743037164,,,,0.05920954675302973,0.07367355247314691
ECSC_2007_1_72M_2007_YR1,ecsc,6-8yr,377,86,4.383720930232558,0.3448275862068966,22.869485294117645,,,,0.08300749973732278,0.07367355247314691
ECSC_2007_2_72M_2007_YR2,ecsc,6-8yr,501,139,3.6043165467625897,0.2934131736526946,18.24153000483602,,,,0.07218349878589365,0.07367355247314691
ECSC_3002_1_73F_3002_YR1,ecsc,6-8yr,149,32,4.65625,0.47651006711409394,30.472833211944646,,,,0.06413221240926092,0.07367355247314691
ECSC_2004_1_73M_2004_YR1,ecsc,6-8yr,239,62,3.8548387096774195,0.49372384937238495,37.805159538357096,,,,0.07212855659418897,0.07367355247314691
ECSC_2004_2_73M_2004_YR2,ecsc,6-8yr,215,38,5.657894736842105,0.5023255813953489,45.571627260083446,,,,0.07239493415548817,0.07367355247314691
ECSC_4010_1_73M_4010_YR1,ecsc,6-8yr,262,85,3.0823529411764707,0.32061068702290074,20.34597257926307,,,,0.06709190362728357,0.07367355247314691
ECSC_1092_1_74F_1092_YR1,ecsc,6-8yr,416,81,5.135802469135802,0.34375,28.866265495194703,,,,0.06482863719373283,0.07367355247314691
ECSC_1092_2_74F_1092_YR2,ecsc,6-8yr,450,118,3.8135593220338984,0.38666666666666666,34.4963686272586,,,,0.08392872263135216,0.07367355247314691
ECSC_1092_3_74F_1092_YR3,ecsc,6-8yr,409,97,4.216494845360825,0.41075794621026895,60.66506167468303,,,,0.039923424960022574,0.07367355247314691
ECSC_2018_1_74F_2018_YR1,ecsc,6-8yr,99,30,3.3,0.42424242424242425,18.270505617977527,,,,0.0515888708091727,0.07367355247314691
ECSC_2018_2_74F_2018_YR2,ecsc,6-8yr,181,40,4.525,0.5359116022099447,47.138343839434356,,,,0.0549324518582645,0.07367355247314691
ECSC_2029_1_74F_2029_YR1,ecsc,6-8yr,324,77,4.207792207792208,0.4506172839506173,44.519117290437315,,,,0.06940157781662873,0.07367355247314691
ECSC_2029_2_74F_2029_YR2,ecsc,6-8yr,330,68,4.852941176470588,0.41818181818181815,28.39850612227017,,,,0.07548138426840732,0.07367355247314691
ECSC_1072_1_74M_1072_YR1,ecsc,6-8yr,270,70,3.857142857142857,0.3851851851851852,25.918936659008864,,,,0.07812102277655857,0.07367355247314691
ECSC_1072_2_74M_1072_YR2,ecsc,6-8yr,246,53,4.6415094339622645,0.3780487804878049,22.968655346489214,,,,0.08126290851990525,0.07367355247314691
ECSC_1072_3_74M_1072_YR3,ecsc,6-8yr,189,38,4.973684210526316,0.43386243386243384,34.65,,,,0.07214443459665996,0.07367355247314691
ECSC_1025_1_75F_1025_YR1,ecsc,6-8yr,156,66,2.3636363636363638,0.44871794871794873,27.217021276595744,,,,0.0542475979571582,0.07367355247314691
ECSC_1025_2_75F_1025_YR2,ecsc,6-8yr,386,103,3.7475728155339807,0.29533678756476683,20.790093800789613,,,,0.08596614231956108,0.07367355247314691
ECSC_1025_3_75F_1025_YR3,ecsc,6-8yr,122,35,3.4857142857142858,0.47540983606557374,24.225941328256134,,,,0.03585061056249829,0.07367355247314691
ECSC_1042_1_75F_1042_YR1,ecsc,6-8yr,240,44,5.454545454545454,0.3625,22.923766816143498,,,,0.071983076181668,0.07367355247314691
ECSC_1042_2_75F_1042_YR2,ecsc,6-8yr,459,67,6.850746268656716,0.30501089324618735,22.920819490586933,,,,0.10296304218939921,0.07367355247314691
ECSC_1042_3_75F_1042_YR3,ecsc,6-8yr,309,53,5.830188679245283,0.3656957928802589,31.94278402776932,,,,0.09007430017108739,0.07367355247314691
ECSC_2020_1_75F_2020_YR1,ecsc,6-8yr,323,55,5.872727272727273,0.49226006191950467,52.73558999456226,,,,0.07075352256617602,0.07367355247314691
ECSC_2020_2_75F_2020_YR2,ecsc,6-8yr,235,39,6.0256410256410255,0.4085106382978723,33.67264165727633,,,,0.09309037582907663,0.07367355247314691
ECSC_2012_1_75M_2012_YR1,ecsc,6-8yr,170,38,4.473684210526316,0.4235294117647059,25.32845271072418,,,,0.06739371464631776,0.07367355247314691
