doc_id,file_id,story_id,group,age_bin,age_years,word_count,n_tokens,n_sentences,tokens_per_sentence,ttr,mtld,adult_token_frac,canonical_sim
505_A1,505,A1,TD,5-6yr,5.170833333333333,47,36,6,6.0,0.6388888888888888,18.0,0.4125,0.06747513533612015
505_A2,505,A2,TD,5-6yr,5.170833333333333,100,76,11,6.909090909090909,0.47368421052631576,19.261467889908257,0.2,0.09502591887488819
505_A3,505,A3,TD,5-6yr,5.170833333333333,141,114,16,7.125,0.32456140350877194,16.53304405874499,0.16071428571428573,0.0754294978476389
505_B1,505,B1,TD,5-6yr,5.170833333333333,59,45,7,6.428571428571429,0.6,19.38653136531365,0.3917525773195876,0.074726209808429
505_B2,505,B2,TD,5-6yr,5.170833333333333,66,49,9,5.444444444444445,0.5510204081632653,17.19298245614035,0.2235294117647059,0.06246457173575933
505_B3,505,B3,TD,5-6yr,5.170833333333333,150,118,16,7.375,0.4067796610169492,20.113685761650395,0.3087557603686636,0.11875057000021891
506_A1,506,A1,TD,5-6yr,5.251666666666667,50,40,5,8.0,0.675,32.217432950191565,0.13793103448275862,0.08769744951485163
506_A2,506,A2,TD,5-6yr,5.251666666666667,103,82,12,6.833333333333333,0.5487804878048781,20.78211009174312,0.1889763779527559,0.08617294214416013
506_A3,506,A3,TD,5-6yr,5.251666666666667,179,142,20,7.1,0.4154929577464789,26.336046511627906,0.02185792349726776,0.054938298666388836
506_B1,506,B1,TD,5-6yr,5.251666666666667,68,57,7,8.142857142857142,0.5263157894736842,24.61989459815547,0.02857142857142857,0.08512847448881011
506_B2,506,B2,TD,5-6yr,5.251666666666667,95,78,10,7.8,0.5512820512820513,29.916534181240063,0.04040404040404041,0.08576967802537411
506_B3,506,B3,TD,5-6yr,5.251666666666667,183,143,21,6.809523809523809,0.44755244755244755,30.79035472299721,0.08040201005025126,0.07534210028166492
509_A1,509,A1,TD,5-6yr,5.76,80,63,9,7.0,0.5873015873015873,31.5,0.1919191919191919,0.045170132742497544
509_A2,509,A2,TD,5-6yr,5.76,69,53,9,5.888888888888889,0.6981132075471698,29.727564102564106,0.15853658536585366,0.07391352591672713
509_A3,509,A3,TD,5-6yr,5.76,137,108,16,6.75,0.49074074074074076,32.62921348314607,0.08053691275167785,0.04012551239656578
509_B1,509,B1,TD,5-6yr,5.76,64,51,8,6.375,0.6078431372549019,26.564663951120163,0.1794871794871795,0.09638790329901789
509_B2,509,B2,TD,5-6yr,5.76,105,87,11,7.909090909090909,0.5172413793103449,26.089631813335004,0.1732283464566929,0.08194756688846318
509_B3,509,B3,TD,5-6yr,5.76,208,165,27,6.111111111111111,0.46060606060606063,35.916678430265385,0.07142857142857142,0.09985148386942139
510_A1,510,A1,TD,5-6yr,5.093333333333334,68,57,6,9.5,0.7368421052631579,53.34323076923077,0.09333333333333334,0.056095600794192686
510_A2,510,A2,TD,5-6yr,5.093333333333334,96,80,9,8.88888888888889,0.575,30.42649727767695,0.08571428571428572,0.03492585047877708
510_A3,510,A3,TD,5-6yr,5.093333333333334,144,119,14,8.5,0.5294117647058824,27.765608324439704,0.14792899408284024,0.031208067693942097
510_B1,510,B1,TD,5-6yr,5.093333333333334,71,61,7,8.714285714285714,0.6557377049180327,46.46554252199414,0.16470588235294117,0.047349930162466754
510_B2,510,B2,TD,5-6yr,5.093333333333334,74,59,8,7.375,0.6440677966101694,29.524542429284523,0.05128205128205128,0.04102194478628727
510_B3,510,B3,TD,5-6yr,5.093333333333334,140,114,14,8.142857142857142,0.5789473684210527,41.93836268443598,0.034482758620689655,0.058560116531949646
513_A1,513,A1,TD,5-6yr,5.589166666666666,59,53,6,8.833333333333334,0.660377358490566,25.399441340782122,0.2716049382716049,0.0616160548349062
513_A2,513,A2,TD,5-6yr,5.589166666666666,83,69,8,8.625,0.6521739130434783,30.543577981651378,0.15306122448979592,0.07372259333428398
513_A3,513,A3,TD,5-6yr,5.589166666666666,191,174,16,10.875,0.41954022988505746,36.766438356164386,0.08173076923076923,0.06331935357189217
513_B1,513,B1,TD,5-6yr,5.589166666666666,66,56,6,9.333333333333334,0.5357142857142857,28.0,0.27472527472527475,0.06695601326360162
513_B2,513,B2,TD,5-6yr,5.589166666666666,135,116,11,10.545454545454545,0.4224137931034483,22.19298245614035,0.15625,0.09158275430512632
513_B3,513,B3,TD,5-6yr,5.589166666666666,209,183,16,11.4375,0.3989071038251366,30.5,0.10300429184549356,0.11841097559849684
514_A1,514,A1,TD,5-6yr,5.511666666666667,94,77,9,8.555555555555555,0.4805194805194805,15.4,0.010526315789473684,0.0783542380565301
514_A2,514,A2,TD,5-6yr,5.511666666666667,138,113,11,10.272727272727273,0.5132743362831859,20.490837104072398,0.12101910828025478,0.0814156695514192
514_A3,514,A3,TD,5-6yr,5.511666666666667,181,144,19,7.578947368421052,0.4375,26.48421052631579,0.18468468468468469,0.07215623430950424
514_B1,514,B1,TD,5-6yr,5.511666666666667,75,62,8,7.75,0.5967741935483871,27.849593495934958,0.08536585365853659,0.08305956088729743
514_B2,514,B2,TD,5-6yr,5.511666666666667,88,67,11,6.090909090909091,0.5970149253731343,19.541666666666664,0.053763440860215055,0.06931940492667553
514_B3,514,B3,TD,5-6yr,5.511666666666667,146,115,14,8.214285714285714,0.46956521739130436,24.012953367875646,0.05194805194805195,0.09604271108702472
517_A1,517,A1,TD,5-6yr,5.4375,89,70,11,6.363636363636363,0.4142857142857143,17.5,0.14423076923076922,0.07690956788042644
517_A2,517,A2,TD,5-6yr,5.4375,152,128,21,6.095238095238095,0.28125,16.0,0.12138728323699421,0.08326588200829786
517_A3,517,A3,TD,5-6yr,5.4375,297,250,32,7.8125,0.248,17.857142857142858,0.060126582278481014,0.08842077724318
517_B1,517,B1,TD,5-6yr,5.4375,126,91,18,5.055555555555555,0.38461538461538464,15.166666666666666,0.08695652173913043,0.1153984354022331
517_B2,517,B2,TD,5-6yr,5.4375,160,127,18,7.055555555555555,0.49606299212598426,33.91159731861144,0.03614457831325301,0.08637772788084132
517_B3,517,B3,TD,5-6yr,5.4375,341,263,40,6.575,0.27756653992395436,16.985416666666666,0.04481792717086835,0.12245963568843904
518_A1,518,A1,TD,5-6yr,5.505833333333333,74,56,9,6.222222222222222,0.6071428571428571,28.570743405275778,0.06329113924050633,0.08059282750038058
