doc_id,child_id,narrative_idx,age_months,age_group,word_count,n_tokens,baseline_nll,max_ctx_used,half_life,early_slope,early_drop_pct,late_benefit_pct,total_benefit,ppl_min_ctx,ppl_max_ctx
PetMcc_45_N7,45,7,78,6yo,120,133,3.1634200246710527,96,28.421472077652382,0.34693696807585317,57.222467294680314,16.738127417529757,14.55108041906216,33.27650211375522,18.72542169469306
PetMcc_45_N8,45,8,78,6yo,99,106,2.166557136334871,64,18.24434427028739,0.44425756328616445,70.27733288825166,,15.171579626992866,46.044812159961914,30.87323253296905
PetMcc_45_N9,45,9,78,6yo,134,149,2.2130319695723686,96,34.7785194021053,0.5359203977412322,44.07411689104139,21.801906982861954,29.182863896256425,47.610930408248116,18.42806651199169
PetMcc_45_N10,45,10,78,6yo,94,104,3.6073485926577917,64,36.30908004727843,0.23815183589020802,48.245035083174685,,11.847113493670784,20.890344308636244,9.04323081496546
PetMcc_45_N11,45,11,78,6yo,64,69,3.620126824629934,32,13.081814808771675,0.16052248805001365,100.0,,3.8525397132003274,10.831062239154594,6.978522525954267
PetMcc_45_N12,45,12,78,6yo,84,100,1.5253170916908665,64,14.639238323459372,0.7460701689848542,84.75721984811304,,21.12585109294986,35.83344321899261,14.707592126042757
PetMcc_46_N1,46,1,68,5yo,48,55,4.553942228618421,24,12.0,,,,16.385850953177695,36.07502343614616,19.689172482968466
PetMcc_46_N2,46,2,68,5yo,90,102,3.691598992598684,64,38.92983255402384,0.13078412948376497,23.05741353081692,,13.613058131673071,30.454927245516586,16.841869113843515
PetMcc_46_N3,46,3,68,5yo,183,208,3.1504139147306742,96,15.536898113305593,0.5429535530808457,65.67942387662676,26.41209949613523,19.840133339807778,42.28058257116316,22.44044923135538
PetMcc_46_N4,46,4,68,5yo,114,134,3.474252801192434,96,21.600348233487853,0.3049234719942999,71.57723588236257,16.94689908561758,10.224149113400557,18.769606287722436,8.545457174321879
PetMcc_46_N5,46,5,68,5yo,129,144,4.103461014597039,96,12.929489952840537,0.8937515128417194,100.0,0.0,21.450036308201266,31.626663257685316,10.17662694948405
PetMcc_46_N6,46,6,68,5yo,148,157,4.133583470394737,96,19.700185453236962,0.5060296369262446,93.81667515217447,5.557174586083107,12.945152092131442,24.640995497615982,11.69584340548454
PetMcc_46_N8,46,8,68,5yo,117,130,4.695600007709704,96,13.89393165836088,1.3431002552954094,99.77097051806271,0.0,32.30840189256659,57.74827121335327,25.43986932078668
PetMcc_46_N9,46,9,68,5yo,140,161,4.337196751644737,96,15.91298434016907,2.1332323614216953,92.97762791762197,0.354878396687205,55.06440400854457,79.09549979915917,24.031095790614597
PetMcc_46_N10,46,10,68,5yo,164,178,3.824146421332108,96,24.36310334622232,0.14918397763778524,60.415092813065826,25.406302468870006,5.926359286387653,14.368692251161567,8.442332964773914
PetMcc_46_N11,46,11,68,5yo,78,91,4.278760307713559,48,18.29283975934609,0.5432123894564813,100.0,,13.037097346955552,31.195482258130966,18.158384911175414
PetMcc_46_N12,46,12,68,5yo,75,87,3.5045439067639803,48,16.26810298961541,1.7067614527197807,100.00000000000001,,40.962274865274736,71.63059297448513,30.668318109210393
PetMcc_46_N14,46,14,68,5yo,55,78,4.19481106808311,48,12.366162178321904,0.08370097746931608,93.81566642481793,,2.1412452054299678,4.009238485997657,1.8679932805676895
PetMcc_46_N15,46,15,68,5yo,63,74,4.207614898681641,32,14.510848767805165,5.562309020645237,100.0,,133.49541649548567,218.9345657643763,85.43914926889062
PetMcc_46_N16,46,16,68,5yo,153,175,3.783090691817434,96,22.075477324457637,0.9234418281200268,65.8384483454077,16.48295905231673,33.662099323193594,74.06352878365588,40.40142946046229
