doc_id,score,grade,ell,token_count,alpha,r,p,n_curves
77049F94BE17,6,11.0,non_ELL,918,-1.6168298229505995,-0.9545637369486364,6.29656595002399e-05,3
77316C69A5BD,6,8.0,non_ELL,769,-1.1802264710802146,-0.9239064978357573,0.000371260667900949,3
79B0AA58D079,4,10.0,non_ELL,633,-0.9089465787106152,-0.8065473950620149,0.02840084178553525,3
7A0F4648B341,5,8.0,non_ELL,657,-1.352440664453935,-0.8098106636854973,0.014838857938277727,3
7AC66E0CFAAA,2,9.0,non_ELL,414,-1.1554253232633611,-0.635137166267751,0.09062643674444164,3
7C57BE3EF6BA,2,8.0,ELL,529,-0.8133209327640272,-0.6782506548191046,0.04462549982646098,3
7D83374556C1,6,11.0,non_ELL,1245,-1.3172914364781503,-0.9089100657541761,0.0006864071752693626,3
7DA90CFB37DA,4,10.0,non_ELL,734,-0.7233782585190004,-0.6265889967199645,0.05255918832784496,3
7DF54B9223DC,2,12.0,ELL,220,-1.7687598417861266,-0.9386037137617,0.0017352941696239933,3
7E20F422A3EB,5,10.0,non_ELL,976,-1.13549273568465,-0.9491961901734767,0.00380597763454219,3
7E54AA9ADF2B,6,11.0,non_ELL,1205,-0.7298390522015363,-0.7515245468559136,0.01220078904482123,3
7F01B2A58AF8,2,9.0,non_ELL,317,-1.0425016688678974,-0.9027977937143532,0.035843665414144577,3
7FD1D968F2E1,5,,UNK,593,-0.6142177207200189,-0.7831121993776342,0.012561726709520304,3
80D2FE30F665,5,12.0,ELL,637,-1.1100430203424998,-0.8412891099502593,0.004473775008086392,3
813FEB14DE3C,6,8.0,non_ELL,1349,-0.5890398046774562,-0.6311376293079916,0.12850599662679682,3
81D2AB7CB91D,4,10.0,non_ELL,483,-0.704462109409269,-0.6355001671312361,0.1250733684520138,3
828F31F78F78,2,8.0,non_ELL,259,-0.4663570143256423,-0.7100914502056684,0.07380672987834902,3
828FE7B8D02C,3,8.0,non_ELL,344,-0.675952055375282,-0.7581041983800242,0.017923783587552564,3
82E1E80B9F3B,5,8.0,non_ELL,779,-1.0282961590789637,-0.8411762125398503,0.0044844014701184804,3
82EA4B643F77,4,8.0,non_ELL,636,-1.0611670826405526,-0.8909142161777128,0.0005420458206676727,3
836A3BBFA12D,5,8.0,non_ELL,529,-1.1171580461574435,-0.7413690784998926,0.056515671988738185,3
83998F1D3F9F,4,9.0,non_ELL,698,-0.74293880479116,-0.7424050977117489,0.013924222617833815,3
839F4F7F7DD7,6,11.0,non_ELL,1152,-1.479284875433528,-0.9394687582380343,0.0005296035311146895,3
83AE9B85F6FD,6,11.0,non_ELL,859,-0.86432706033855,-0.8710798510584399,0.023859254673327814,3
83D933BD5B81,2,8.0,non_ELL,260,-0.2097504841762998,-0.30409047367829356,0.46400471430509915,3
84DB11599420,6,11.0,non_ELL,984,-1.3177154860466058,-0.7973230480436466,0.017778260666649635,3
851FFB9D96E1,3,8.0,non_ELL,286,-0.9181704013141889,-0.922349239855573,0.0011034055388523015,3
8521B650F8A9,2,8.0,ELL,379,-0.907216584025137,-0.8349108014064559,0.019418649234447027,3
8726B24BA724,4,8.0,non_ELL,483,-0.7638027602785014,-0.6272532724546861,0.07057920935348568,3
87D53BFDACAE,6,11.0,non_ELL,811,-0.9749117700215832,-0.9540151720909742,6.563116959099086e-05,3
88FBEF28CE3A,3,10.0,non_ELL,462,-1.0440938662491162,-0.8867457718693328,0.003330157024805516,3
89593AEC5E89,6,11.0,non_ELL,950,-0.894285838233665,-0.8439557950422683,0.008422094914930837,3
89CD5C5D9180,3,8.0,non_ELL,392,-0.6683930104227249,-0.9304343278615945,0.00027300766312506953,3
89FCD2B81990,4,9.0,non_ELL,485,-0.9787099497762394,-0.8617239298206547,0.005943175426142642,3
8A40C9A48BC3,5,8.0,non_ELL,801,-1.2845092341784266,-0.8333372793807082,0.03935004326626914,3
8A8B13591181,4,10.0,non_ELL,977,-1.2829417204531313,-0.8346075352286241,0.009954028551049663,3
8AE2CB3C3CE4,3,9.0,non_ELL,370,-0.9469657611398472,-0.7987627660642083,0.017422303228497634,3
